2952,1,1.68485,6.79214,0,1.76476,6.99841,-0.0640512,493.719,25.4363
403,0,-0.914978,5.14229,0,-0.978234,5.19778,-0.0253271,86.5108,109.605
409,0,-0.794723,5.09595,0,-0.852001,5.17155,-0.0321033,107.863,112.392
379,0,0.17059,2.81009,0,0.213296,2.83774,-0.0207226,314.768,347.225
2946,0,0.164346,2.80393,0,0.206041,2.83314,-0.0229454,312.816,348.466
2953,1,0.147721,2.76736,0,0.187257,2.85115,-0.0610412,307.126,354.098
2924,0,0.150617,2.76736,0,0.192102,2.84699,-0.0610892,308.502,354.779
2954,1,-0.171427,2.59976,0,-0.214093,2.62661,-0.0243971,193.775,383.859
2955,1,0.177478,2.06789,0,0.245717,2.10784,-0.039579,338.514,495.22
2956,1,1.69435,6.91804,0,1.72419,6.95552,-0.0143378,490.303,20.4668
2957,1,0.0866098,5.91064,0,0.0965332,5.95995,-0.0205521,270.95,65.5727
2958,1,-0.256849,5.33476,0,-0.268225,5.34601,-0.0100018,210.527,97.9248
384,0,0.193694,2.80393,0,0.242029,2.84942,-0.035174,322.352,348.602
